epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6641.14,0.4152,2.08928,0.17732,0.23641,0.00899,1.28773,0.96056,0.97064,0.98176,0.92243,0.8201,0.79197,0.80101,0.65491,0.36369,2.15306,0.21013,0.22252,0.01497,0,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,6859.31,0.41475,2.03843,0.1749,0.23343,0.00901,1.11467,0.96744,0.97385,0.98428,0.926,0.8418,0.78643,0.81642,0.67206,0.36903,2.11536,0.20774,0.21277,0.01523,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,7077.65,0.42415,2.03946,0.17489,0.23712,0.00927,1.10354,0.97253,0.97002,0.98413,0.92533,0.81399,0.80244,0.8116,0.66463,0.37433,2.12477,0.20669,0.22083,0.01566,0,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,7296.23,0.41614,2.05322,0.1745,0.23465,0.00899,1.17501,0.97468,0.97447,0.98517,0.92827,0.83063,0.80417,0.8191,0.68214,0.35819,2.10911,0.20669,0.20782,0.01476,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,7514.68,0.4176,2.05425,0.17475,0.236,0.0091,1.14639,0.96753,0.96638,0.98311,0.92659,0.83415,0.79919,0.81142,0.66559,0.35224,2.09543,0.20689,0.21944,0.01448,0,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,7732.84,0.40848,2.00008,0.17393,0.22751,0.00888,1.01996,0.97652,0.97122,0.98333,0.92967,0.85125,0.7939,0.82454,0.69416,0.3566,2.0187,0.20129,0.20003,0.01481,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,7951.43,0.41117,1.9471,0.171,0.23085,0.00893,0.80464,0.97678,0.96913,0.98598,0.93121,0.82426,0.81351,0.81962,0.68236,0.35061,2.01083,0.1998,0.20184,0.01446,0,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,8169.75,0.40006,1.97236,0.17116,0.22703,0.00871,0.87726,0.97658,0.97042,0.98595,0.92906,0.83014,0.82036,0.82827,0.69203,0.35553,1.9657,0.20094,0.20085,0.01476,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,8387.82,0.40319,1.92771,0.16993,0.22875,0.00874,0.82276,0.98007,0.97198,0.98575,0.93478,0.85027,0.80168,0.8285,0.69224,0.33705,2.01177,0.20179,0.18689,0.01385,0,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,8606.55,0.40199,1.9297,0.17022,0.22272,0.00872,0.78025,0.97904,0.97456,0.98538,0.93376,0.8366,0.82472,0.83264,0.69572,0.34322,1.95759,0.19929,0.18299,0.01418,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,8824.88,0.40272,1.9282,0.16863,0.2252,0.00867,0.80082,0.97818,0.97704,0.98525,0.93489,0.85766,0.81289,0.83653,0.70274,0.33912,1.93995,0.19717,0.18382,0.014,0,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,9043.64,0.40293,1.9465,0.16879,0.22941,0.0087,0.79714,0.97804,0.97758,0.98563,0.93705,0.83275,0.83064,0.83763,0.69988,0.32778,1.9235,0.19512,0.17804,0.01346,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,9261.72,0.40611,1.93544,0.16752,0.22344,0.00874,0.78767,0.97792,0.97416,0.98627,0.94011,0.86641,0.80968,0.84099,0.70777,0.31847,1.95694,0.19446,0.181,0.01303,0,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,9480.28,0.40051,1.92666,0.16593,0.22198,0.00864,0.8096,0.9776,0.97849,0.9862,0.93966,0.84319,0.82362,0.84019,0.70572,0.31952,1.93509,0.19341,0.18419,0.01307,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,9698.76,0.40014,1.9127,0.16603,0.22206,0.00859,0.80164,0.97663,0.97821,0.98564,0.93778,0.8635,0.80573,0.83981,0.70523,0.32575,1.89471,0.19275,0.18821,0.01338,0,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,9917.25,0.40104,1.91412,0.16499,0.22494,0.0086,0.83029,0.97881,0.9778,0.98491,0.93673,0.86675,0.816,0.84355,0.70641,0.33471,1.88244,0.19199,0.18981,0.01378,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,10135.4,0.39495,1.89821,0.1643,0.21837,0.00853,0.73207,0.97695,0.97629,0.98496,0.93826,0.86623,0.81663,0.84477,0.70782,0.33109,1.89424,0.19084,0.18804,0.01366,0,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,10353.4,0.38799,1.89488,0.16349,0.21883,0.00834,0.73539,0.97622,0.97634,0.98573,0.93885,0.85283,0.83562,0.84602,0.71016,0.32322,1.87958,0.18947,0.18462,0.01326,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,10571.5,0.40552,1.88382,0.16128,0.22541,0.00875,0.6904,0.97847,0.97624,0.98549,0.93905,0.85184,0.82939,0.84696,0.7146,0.32034,1.87736,0.1879,0.18158,0.01314,0,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,10789.9,0.40302,1.83328,0.16105,0.21926,0.00867,0.61801,0.98065,0.97727,0.98557,0.93983,0.8613,0.82356,0.84973,0.71484,0.32193,1.87508,0.18732,0.17688,0.01319,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,11008.4,0.39451,1.87656,0.16042,0.21853,0.00843,0.67511,0.98227,0.97883,0.98596,0.94042,0.85674,0.82666,0.84874,0.71638,0.31916,1.86883,0.1864,0.17901,0.01307,0,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,11226.8,0.39959,1.85865,0.15919,0.22282,0.00855,0.68421,0.98157,0.97843,0.98551,0.94039,0.84716,0.83811,0.85062,0.71776,0.3191,1.86753,0.1854,0.18129,0.01304,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,11445.2,0.38913,1.83891,0.15818,0.21783,0.00835,0.70582,0.98153,0.97883,0.9867,0.94144,0.85812,0.8323,0.85267,0.72075,0.31958,1.83972,0.18499,0.17943,0.01305,0,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,11663.6,0.38906,1.85344,0.15919,0.21881,0.00835,0.64938,0.9823,0.9779,0.987,0.94103,0.85027,0.83627,0.85289,0.72142,0.31871,1.8427,0.18453,0.17928,0.01303,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,11882.2,0.4015,1.86166,0.15774,0.22284,0.00862,0.69835,0.98007,0.9799,0.98745,0.94144,0.8475,0.8378,0.85136,0.72023,0.31766,1.84172,0.1838,0.17894,0.01298,0,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,12100.4,0.39722,1.87673,0.15726,0.22564,0.00854,0.82394,0.98068,0.97996,0.98715,0.94174,0.86577,0.82329,0.85239,0.72005,0.31101,1.841,0.1831,0.18553,0.01267,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,12318.3,0.3911,1.88061,0.15708,0.22252,0.00838,0.75902,0.98213,0.97727,0.9861,0.94135,0.86579,0.8241,0.85308,0.72281,0.31011,1.83684,0.18238,0.18561,0.01268,0,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,12537.1,0.39902,1.85745,0.15803,0.22713,0.00861,0.76708,0.98149,0.9779,0.98671,0.94222,0.86605,0.82733,0.8516,0.7213,0.30576,1.83352,0.18206,0.18489,0.01248,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,12755.2,0.38406,1.83028,0.15782,0.2217,0.00824,0.73834,0.98214,0.97605,0.98582,0.94018,0.85546,0.83656,0.85481,0.72374,0.30572,1.81984,0.18227,0.18918,0.01248,0,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,12973.4,0.39399,1.86086,0.1565,0.22237,0.00842,0.78681,0.97945,0.97952,0.98679,0.94168,0.85235,0.84109,0.85219,0.72313,0.30612,1.80825,0.18229,0.18993,0.01249,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
